month,revenue,profit,customers,avg_order,cost_of_goods,margin
Jan-2023,150000,30000,1200,125.00,120000,0.20
Feb-2023,165000,35000,1350,122.22,130000,0.21
Mar-2023,142000,28000,1150,123.48,114000,0.20
Apr-2023,178000,40000,1450,122.76,138000,0.22
May-2023,190000,45000,1550,122.58,145000,0.24
Jun-2023,205000,50000,1650,124.24,155000,0.24
Jul-2023,198000,48000,1600,123.75,150000,0.24
Aug-2023,185000,42000,1500,123.33,143000,0.23
Sep-2023,172000,38000,1400,122.86,134000,0.22
Oct-2023,210000,52000,1700,123.53,158000,0.25
Nov-2023,225000,58000,1800,125.00,167000,0.26
Dec-2023,240000,62000,1900,126.32,178000,0.26
Jan-2024,155000,31000,1250,124.00,124000,0.20
Feb-2024,170000,37000,1380,123.19,133000,0.22
Mar-2024,148000,29000,1180,125.42,119000,0.20
Apr-2024,182000,41000,1480,122.97,141000,0.23
May-2024,195000,46000,1580,123.42,149000,0.24
Jun-2024,210000,52000,1680,125.00,158000,0.25
Jul-2024,202000,49000,1620,124.69,153000,0.24
Aug-2024,188000,43000,1520,123.68,145000,0.23
Sep-2024,175000,39000,1420,123.24,136000,0.22
Oct-2024,215000,54000,1720,125.00,161000,0.25
Nov-2024,230000,60000,1820,126.37,170000,0.26
Dec-2024,245000,64000,1920,127.60,181000,0.26
